iteration time doc.count score word.count unseen.score unseen.word.count
61 245 6100 -406876.39375 33223 -403578.86867 32877
62 249 6200 -414644.78729 36796 -411321.75247 36462
63 253 6300 -381045.22678 32188 -380161.42399 32095
64 257 6400 -371687.22810 33174 -368486.58423 32826
65 260 6500 -333665.14696 28022 -331961.99721 27848
66 264 6600 -359394.32304 32643 -353355.59253 31958
67 268 6700 -340111.10249 29280 -326125.30879 27798
68 272 6800 -373207.88113 31638 -365118.74374 30768
69 275 6900 -370488.47486 33898 -359275.69796 32697
70 279 7000 -378149.29293 34728 -360256.58393 32804
71 283 7100 -393128.27749 34149 -386640.06859 33446
72 287 7200 -383702.56986 34545 -375922.38141 33677
73 291 7300 -341300.48298 30688 -337043.01763 30247
74 295 7400 -394166.50789 35944 -394166.50789 35944
75 299 7500 -337914.27870 29170 -331845.64170 28503
76 304 7600 -400085.81691 34737 -397096.44831 34409
77 308 7700 -380308.57807 34233 -370146.83360 33132
78 312 7800 -340320.85392 30990 -333883.95418 30300
79 316 7900 -376984.12287 34781 -370024.75876 34030
80 322 8000 -353614.40430 33132 -347895.72063 32483
81 326 8100 -335769.82550 30996 -333755.38083 30788
82 330 8200 -350266.75376 32183 -339524.80577 31044
83 333 8300 -398990.17481 33744 -387642.43109 32539
84 337 8400 -331709.07801 30709 -325358.31355 30076
85 341 8500 -358991.28171 32580 -353279.43124 31977
86 345 8600 -399505.00262 37166 -389958.96608 36174
87 349 8700 -368524.33808 34313 -365186.34947 33938
88 353 8800 -403502.54175 36622 -397254.23477 35917
89 357 8900 -383851.90267 34201 -382821.54702 34089
90 361 9000 -366017.59813 33791 -350460.34075 32154
91 365 9100 -437548.13926 38496 -434267.15322 38147
92 369 9200 -336499.27202 32619 -333194.53482 32271
93 373 9300 -386033.26320 35286 -384561.02113 35129
94 376 9400 -368830.07404 33782 -366045.01611 33470
95 380 9500 -332056.67985 30784 -316976.27348 29194
96 384 9600 -365555.22855 34882 -357797.00370 34068
97 388 9700 -396422.55553 36964 -382367.74750 35410
98 392 9800 -338160.25391 32507 -318933.39987 30427
99 395 9900 -332916.34915 31648 -313600.81070 29550
100 399 10000 -334382.99304 31276 -325014.67957 30306
101 403 10100 -358732.54705 33163 -358732.54705 33163
102 407 10200 -307611.21892 29702 -299230.86394 28798
103 411 10300 -348094.36676 32976 -332448.32430 31329
104 414 10400 -315954.80825 30221 -307539.43388 29306
105 418 10500 -349828.20757 33367 -341819.88076 32539
106 422 10600 -346366.63969 31999 -341703.02811 31495
107 426 10700 -369474.31509 34769 -352961.26817 32963
108 430 10800 -364050.13858 34929 -354227.95227 33929
109 433 10900 -360502.11838 33942 -356583.89795 33533
110 437 11000 -387759.72514 36274 -381646.50977 35633
111 441 11100 -379977.59148 36789 -374178.97660 36150
112 445 11200 -309062.98892 30143 -301814.63965 29374
113 449 11300 -354297.03815 34175 -332252.95415 31782
114 452 11400 -326151.77984 31840 -312000.54095 30271
115 456 11500 -319439.03218 30966 -306866.23399 29612
116 459 11600 -314342.74063 30242 -302487.32567 28990
117 463 11700 -328358.44373 31654 -308217.85828 29560
